IATA,ICAO,Airline,Call sign,Country/Region,Comments
AN,AAA,Ansett Australia,ANSETT,Australia,defunct
W9,AAB,Abelag Aviation,ABG,Belgium,defunct
AX,AAC,AmericanConnection,CONNECT AMERICA,United States,defunct
,AAC,Army Air Corps,ARMYAIR,United Kingdom,
,AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada,Ceased operations 1995
,AAD,Mann Air Ltd,Ambassador,United Kingdom,t/a Ambassador
,AAE,Astec Air East,AIR EAST,United States,defunct
,AAE,Western Express Air,ARIZONA,United States,defunct in 2007
ZI,AAF,Aigle Azur,AIGLE AZUR,France,Former name: Lucas Aigle Azur; former IATA code: LK
,AAG,Atlantic Flight Training,ATLANTIC,United Kingdom,Changed from Air Atlantique in 2014
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,"Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014."
KH,AAH,Aloha Air Cargo,ALOHA,United States,
AQ,AAH,Aloha Airlines,ALOHA,United States,defunct; former IATA code: TS
,AAI,Air Aurora,BOREALIS,United States,Former IATA code: AX
QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
,AAJ,Alfa Airlines,ALFA SUDAN,Sudan,
,AAK,Alaska Island Air,ALASKA ISLAND,United States,
AA,AAL,American Airlines,AMERICAN,United States,
,AAM,Aim Air,,Moldova,
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands,Former IATA code: FH*. ICAO code and call sign no longer allocated
OB,AAN,Oasis Airlines,Oasis,Spain,defunct
OB,AAN,Oasis International Airlines Now assigned to Boliviana de Aviacion (BoA),OASIS,Spain,Ceased operations
,AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States,
,AAP,Arabasco Air Services,ARABASCO,Saudi Arabia,
,AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan,defunct
,AAP,Astro Air International,ASTRO AIR,Philippines,defunct
3J,AAQ,Air Alliance,LIAISON,Canada,defunct
,AAQ,Copterline,COPTERLINE,Finland,Former name: Copter Action; former callsign: COPTER ACTION
,AAR,Americ Air,PATRIOT,United States,defunct
OZ,AAR,Asiana Airlines,ASIANA,South Korea,
,AAS,Airtransservice,Aviaservice,Russia,defunct
,AAS,Austrian Air Services,AIR SERVICES,Austria,defunct
4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
SO,AAS,Sunshine Airlines,,,defunct
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria,"defunct; former IATA code: U8, OG; former ICAO code: AUC"
,AAT,Air Central Asia,,Kyrgyzstan,
,AAU,Australia Asia Airlines,AUSTASIA,Australia,Subsidiary merged into Qantas; former IATA code: IM
,AAV,Aly Aviation,,United Kingdom,defunct; former ICAO code: AAY
,AAV,Astro Air International,ASTRO-PHIL,United States,
,AAW,Austin Airways,AUSTIN,Canada,defunct
SM,AAW,Allied Airways,,United Kingdom,"defunct, taken over by British European Airways which went on to form British Airways."
,AAW,Almeta Air,ALMETA AIR,Austria,defunct
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
,AAX,Advance Aviation,ADVANCE AVIATION,Thailand,
,AAX,Afric'air Express,AFREX,Côte d'Ivoire,defunct
G4,AAY,Allegiant Air,ALLEGIANT,United States,
KJ,AAZ,Asian Air,,Kyrgyzstan,
,AAZ,Angus Aviation,ANGUS,Canada,defunct
,ABA,Aero-Beta,AEROBETA,Germany,
,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
,ABA,Aero-Beta,Aerobeta,Germany,
,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
,ABE,Arberia Airlines,ARBERIA AIRLINES,Albania,defunct
,ABF,Aerial Oy,SKYWINGS,Finland,
RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia,
,ABH,Hokuriki-Koukuu Company,,Japan,
,ABI,Antigua and Barbuda Airways,Anair,Antigua and Barbuda,defunct
BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil,defunct
,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,"defunct, ICAO code no longer allocated"
BX,ABL,Air Busan,AIR BUSAN,South Korea,
ZX,ABL,Air BC,AIRCOACH,Canada,Merged into Air Canada Jazz
,ABM,Aero Albatros,ALBATROS ESPANA,Spain,
ZB,ABN,Air Albania,AIR ALBANIA,Albania,
,ABN,Air Fret Senegal,,Senegal,
,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
,ABP,ABS Jets,BAIR,Czech Republic,Named changed from Aba Air
ED*,ABQ,Airblue,PAKBLUE,Pakistan,
AG,ABR,ASL Airlines Ireland,CONTRACT,Ireland,"Former IATA Code: AG; former names: Hunting Air Cargo Airlines, Air Contractors"
,ABS,Air Central,AIR CENTRAL,United States,defunct
9T,ABS,Transwest  Air,ATHABASKA,Canada,
,ABT,Ambeo,AMBITION,United Kingdom,
,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
,ABU,Aerovías Bueno,AEROBUENO,Colombia,defunct
,ABU,Eagle Aviation Services,,United States,
O4,ABV,Antrak Air,ANTRAK,Ghana,
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia,Former IATA: BO
GB,ABX,ABX Air,ABEX,United States,"August 15, 2003 Air operations of former Airborne Express"
GB,ABX,Airborne Express,ABEX,United States,"August 14, 2003 merged into DHL"
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
AC,ACA,Air Canada,AIR CANADA,Canada,
,ACB,African Cargo Services,AFRICARGO,Kenya,
,ACC,Airspeed Charter,,Jamaica,2014
,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
,ACD,Academy Airlines,ACADEMY,United States,
,ACE,Air Charter Express,,Ghana,
,ACE,Race Cargo Airlines,Fastcargo,Ghana,defunct
,ACF,Centro de Formación Aeronáutica de Canarias,FORCAN,Spain,
,ACG,Air Partner,AIR PARTNER,United Kingdom,
,ACH,Air Cargo Plus,AIR PLUS,Liberia,
SB,ACI,Air Caledonie International,AIRCALIN,France,
,ACJ,Avicon,AVICHARTER,Kenya,
DV,ACK,Nantucket Airlines,ACK AIR,United States,WAS 9k
FS,ACL,Itali Airlines,SPADA,Italy,Former name: Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO
,ACM,Air Caledonia,WEST CAL,Canada,
,ACN,Central American Airlines,AEROCENTRO,Nicaragua,
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
YE,ACQ,Aryan Cargo Express,,India,
N6,ACQ,Nuevo Continente,AERO CONTINENTE,Peru,Operating license revoked by Chile 10/06/2002; Ceased operations 2005; Former name: Aero Continente
,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",AEROCENTER,Spain,
,ACS,Aircraft Sales and Services,AIRCRAFT SALES,Pakistan,
,ACS,Air Cess,,Liberia,defunct
,ACT,Flight Line,AMERICAN CHECK,United States,
,ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya,
,ACV,Air Charter Service,,United Kingdom,ICAO code no longer allocated
,ACW,Royal Air Force,AIR CADET,United Kingdom,Air Cadet Schools
6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
,ACX,Air Charters,PARAIR,Canada,defunct
,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
G6,ACY,Fly Arna,ARNA,Armenia,
,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
,ADC,AD Astra Executive Charter,AD ASTRA,Poland,
,ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,defunct
,ADD,Advanced Air Co.,,Japan,ICAO Code no longer allocated
,ADE,Ada Air,ADA AIR,Albania,"defunct, former IATA code: ZY"
,ADF,"Ade, Aviación Deportiva",ADE AVIACION,Spain,
,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
,ADI,Audeli Air,AUDELI,Spain,
,ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire,defunct
Z7*,ADK,ADC Airlines,ADCO,Nigeria,defunct; former name: Aviation Development Company
,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
YU,ADM,Dominair,DOMINAIR,Dominican Republic,"defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated"
,ADN,Aero-Dienst,AERODIENST,Germany,
HD,ADO,AIRDO,AIR DO,Japan,
,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
,ADQ,Avion Taxi,AIR DATA,Canada,2695731 Canada Inc.
JP,ADR,Adria Airways,ADRIA,Slovenia,defunct as of September 2019
,ADS,Aviones de Sonora,SONORAV,Mexico,
,ADT,Arrendaminetos y Transportes Turisticos,ARRENDA-TRANS,Mexico,
,ADT,Air Dorval,AIR DORVAL,Canada,defunct
,ADU,Airdeal Oy,AIRDEAL,Finland,
,ADV,Advance Air Charters,ADVANCE,Canada,defunct
