Date,Close,Buy,Sell,Open,High,Low
1930-01-04,  21.48,False,False,  21.48,  21.48,  21.48
1930-01-11,  21.45,False,False,  21.45,  21.45,  21.45
1930-01-18,  21.37,False,False,  21.37,  21.37,  21.37
1930-01-25,  22.23,True,False,  22.23,  22.23,  22.23
1930-02-01,  22.93,False,False,  22.93,  22.93,  22.93
1930-02-08,  23.16,False,False,  23.16,  23.16,  23.16
1930-02-15,  23.13,False,False,  23.13,  23.13,  23.13
1930-02-21,  22.92,False,False,  22.92,  22.92,  22.92
1930-03-01,  23.45,False,False,  23.45,  23.45,  23.45
1930-03-08,  23.60,False,False,  23.60,  23.60,  23.60
1930-03-15,  23.32,False,False,  23.32,  23.32,  23.32
1930-03-22,  24.04,False,False,  24.04,  24.04,  24.04
1930-03-29,  24.05,False,False,  24.05,  24.05,  24.05
1930-04-05,  25.73,False,False,  25.73,  25.73,  25.73
1930-04-12,  25.89,False,False,  25.89,  25.89,  25.89
1930-04-17,  25.75,False,False,  25.75,  25.75,  25.75
1930-04-26,  25.37,False,False,  25.37,  25.37,  25.37
1930-05-03,  22.84,False,True,  22.84,  22.84,  22.84
1930-05-10,  24.13,True,False,  24.13,  24.13,  24.13
1930-05-17,  24.28,False,False,  24.28,  24.28,  24.28
1930-05-24,  24.19,False,False,  24.19,  24.19,  24.19
1930-05-29,  24.49,False,False,  24.49,  24.49,  24.49
1930-06-07,  23.03,False,True,  23.03,  23.03,  23.03
1930-06-14,  21.80,False,False,  21.80,  21.80,  21.80
1930-06-21,  19.67,False,False,  19.67,  19.67,  19.67
1930-06-28,  19.90,False,False,  19.90,  19.90,  19.90
1930-07-03,  20.25,False,False,  20.25,  20.25,  20.25
1930-07-12,  20.93,False,False,  20.93,  20.93,  20.93
1930-07-19,  21.57,False,False,  21.57,  21.57,  21.57
1930-07-26,  21.71,False,False,  21.71,  21.71,  21.71
1930-08-02,  21.23,False,False,  21.23,  21.23,  21.23
1930-08-09,  20.25,False,False,  20.25,  20.25,  20.25
1930-08-16,  20.65,False,False,  20.65,  20.65,  20.65
1930-08-23,  20.90,False,False,  20.90,  20.90,  20.90
1930-08-29,  21.37,False,False,  21.37,  21.37,  21.37
1930-09-06,  21.65,False,False,  21.65,  21.65,  21.65
1930-09-13,  21.47,False,False,  21.47,  21.47,  21.47
1930-09-20,  20.73,False,False,  20.73,  20.73,  20.73
1930-09-27,  19.29,False,False,  19.29,  19.29,  19.29
1930-10-04,  19.23,False,False,  19.23,  19.23,  19.23
